Course,Section,Time,Location,Enrollment,Classification,Day
CHEM 1050,LA2,Tu 01:30PM - 04:20PM,"UG001, CYT Bldg",54,CYT Bldg,Tu
CHEM 1050,LA3,We 10:30AM - 01:20PM,"UG001, CYT Bldg",53,CYT Bldg,We
CHEM 1050,LA4,We 01:30PM - 04:20PM,"UG001, CYT Bldg",54,CYT Bldg,We
CHEM 1050,LA5,Th 10:30AM - 01:20PM,"UG001, CYT Bldg",37,CYT Bldg,Th
CHEM 1050,LA6,Th 01:30PM - 04:20PM,"UG001, CYT Bldg",54,CYT Bldg,Th
CHEM 2110,L1,WeFr 04:30PM - 05:50PM,Lecture Theater B (317),174,Lecture Theater B,WeFr
CHEM 2210,L1,MoWe 10:30AM - 11:50AM,"Rm 4620, Lift 31-32 (126)",95,Lift 31-32,MoWe
CHEM 2310,L1,TuTh 09:00AM - 10:20AM,"Rm 2404, Lift 17-18 (81)",77,Lift 17-18,TuTh
CHEM 2409,L1,Mo 03:00PM - 04:20PM,"Rm 2464, Lift 25-26 (122)",73,Lift 25-26,Mo
CHEM 2409,L1,Fr 10:30AM - 11:50AM,"Rm 2464, Lift 25-26 (122)",73,Lift 25-26,Fr
CHEM 2409,T1,Fr 03:00PM - 04:20PM,"Rm 2465, Lift 25-26 (122)",73,Lift 25-26,Fr
CHEM 2410,L1,Mo 01:30PM - 02:50PM,"Rm 5583, Lift 29-30 (80)",81,Lift 29-30,Mo
CHEM 2410,L1,Fr 09:00AM - 10:20AM,"Rm 5583, Lift 29-30 (80)",81,Lift 29-30,Fr
CHEM 2550,LA1,Tu 12:30PM - 04:20PM,"Rm 1003, CYT Bldg",34,CYT Bldg,Tu
CHEM 2550,LA2,We 12:30PM - 04:20PM,"Rm 1003, CYT Bldg",38,CYT Bldg,We
CHEM 2555,LA1,Tu 10:30AM - 02:20PM,Rm 6122,38,Rm 6122,Tu
CHEM 2555,LA2,We 10:30AM - 02:20PM,Rm 6122,36,Rm 6122,We
CHEM 3010,L1,TuTh 04:30PM - 05:50PM,"Rm 5562, Lift 27-28 (30)",19,Lift 27-28,TuTh
CHEM 4120,L1,WeFr 03:00PM - 04:20PM,"Rm 5508, Lift 25-26 (30)",15,Lift 25-26,WeFr
CHEM 4140,L1,MoWe 12:00PM - 01:20PM,"G009B, CYT Bldg (70)",30,CYT Bldg,MoWe
CHEM 4150,LA1,Th 10:30AM - 01:20PM,"Rm 1004, CYT Bldg",10,CYT Bldg,Th
CHEM 4155,LA1,Th 01:30PM - 04:20PM,"Rm 1004, CYT Bldg",10,CYT Bldg,Th
CHEM 4210,L1,WeFr 04:30PM - 05:50PM,"G009A, CYT Bldg (80)",17,CYT Bldg,WeFr
CHEM 4250,LA1,Th 10:30AM - 01:20PM,"Rm 1003, CYT Bldg",7,CYT Bldg,Th
CHEM 4255,LA1,Th 01:30PM - 04:20PM,"Rm 1003, CYT Bldg",7,CYT Bldg,Th
CHEM 4340,L1,Mo 03:00PM - 04:20PM,"Rm 5506, Lift 25-26 (30)",8,Lift 25-26,Mo
CHEM 4340,L1,Fr 10:30AM - 11:50AM,"Rm 5506, Lift 25-26 (30)",8,Lift 25-26,Fr
CHEM 4350,LA1,Th 10:30AM - 01:20PM,Rm 6122,10,Rm 6122,Th
CHEM 4355,LA1,Th 01:30PM - 04:20PM,Rm 6122,10,Rm 6122,Th
CHEM 4410,L1,MoWe 10:30AM - 11:50AM,"Rm 5562, Lift 27-28 (30)",6,Lift 27-28,MoWe
CHEM 4550,LA1,Th 10:30AM - 01:20PM,TBA,3,TBA,Th
CHEM 4555,LA1,Th 01:30PM - 04:20PM,TBA,3,TBA,Th
CHEM 4640,L1,MoWe 09:00AM - 10:20AM,"G002, CYT Bldg (30)",18,CYT Bldg,MoWe
CHEM 4680,R1,TBA,TBA,1,TBA,TBA
CHEM 4689,LA1,Tu 09:30AM - 10:20AM,"Rm 5620, Lift 31-32 (70)",16,Lift 31-32,Tu
CHEM 4691,LA1,Tu 09:30AM - 10:20AM,TBA,17,TBA,Tu
CHEM 4692,LA1,TBA,TBA,2,TBA,TBA
CHEM 5110,L1,We 03:00PM - 05:50PM,"Rm 4504, Lift 25-26 (54)",25,Lift 25-26,We
CHEM 5140,L1,MoWe 10:30AM - 11:50AM,"Rm 4504, Lift 25-26 (54)",30,Lift 25-26,MoWe
CHEM 5310,L1,TuTh 09:00AM - 10:20AM,"Rm 5562, Lift 27-28 (30)",15,Lift 27-28,TuTh
CHEM 5410,L1,Tu 03:00PM - 05:50PM,"Rm 5583, Lift 29-30 (80)",7,Lift 29-30,Tu
CHEM 6000Z,T1,TBA,TBA,149,TBA,TBA
CHEM 6772,T1,TBA,TBA,91,TBA,TBA
CHEM 6980A,R1,TBA,TBA,1,TBA,TBA
CHEM 6990,R1,TBA,TBA,27,TBA,TBA
CHEM 7990,R1,TBA,TBA,145,TBA,TBA
